"","TI","SO","LeadAuthorFirst","LeadAuthorLast","LeadInitOnly","first.gender.manual","first.gender","first.gender.manual.method","EditorFirst","EditorLast","editor.gender.manual","FirstInst2","Editor.Institution"
"905","The population ecology of male gametophytes: the link between pollination and seed production","ECOLOGY LETTERS","Lawrence","davis","no","male","male","","Jose Maria","Gomez",NA,"University of Calgary","Universidad De Granada"
"906","A biochemical approach for identifying plastics exposure in live wildlife","Methods in Ecology and Evolution","Britta","fay","no","female","female","","Matthew","Davey","male","","University of Cambridge"
"907","High-elevation range limit of an annual herb is neither caused nor reinforced by declining pollinator service","JOURNAL OF ECOLOGY","Anna","funk","no","female","female","","Ignasi","Bartomeus","male","Queens University","Estacion Biologica de Donana"
"908","Low-cost soil CO2 efflux and point concentration sensing systems for terrestrial ecology applications","METHODS IN ECOLOGY AND EVOLUTION","Thomas","hilbers","yes","male","male","","Timothee","Poisot","male","University of California Merced","University of Canterbury"
"909","Latitudinal and depth gradients in marine predation pressure","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Elizabeth","kaspari","no","female","female","","Jonathan","Belmaker","male","","Tel Aviv University"
"910","Edge influence on vegetation at natural and anthropogenic edges of boreal forests in Canada and Fennoscandia","JOURNAL OF ECOLOGY","Karen","levi","no","female","female","","Peter","Bellingham","male","Dalhousie University","Landcare Research, Lincoln University"
"911","Generating realistic assemblages with a joint species distribution model","METHODS IN ECOLOGY AND EVOLUTION","David","rose","no","male","male","","David","Warton","male","","University of New South Wales"
"912","Ecoacoustic indices as proxies for biodiversity on temperate reefs","METHODS IN ECOLOGY AND EVOLUTION","Sydney","wood","no","either","either","","John","Reynolds","male","University of Auckland","Simon Fraser University"
"913","Among-Character Rate Variation Distributions in Phylogenetic Analysis of Discrete Morphological Characters","SYSTEMATIC BIOLOGY","Luke","arribas","no","male","male","","Peter","Foster","male","McGill University","University of Edinburgh"
"914","Does natural variation in diversity affect biotic resistance?","JOURNAL OF ECOLOGY","Susan","botta","no","female","female","","","Retraction",NA,"University of California Davis",""
"915","How variation between individuals affects species coexistence","ECOLOGY LETTERS","Simon","chesters","no","male","male","","Tim","Coulson","either","ETH Zurich","University of Oxford"
"916","Integrating macroecological metrics and community taxonomic structure","ECOLOGY LETTERS","John","conn","no","male","male","","Jonathan","Chase","male","University of California Berkeley","University of Leipzig"
"917","Burn me twice, shame on who? Interactions between successive forest fires across a temperate mountain region","ECOLOGY","Brian","guo","no","male","male","","Gordon","Fox","male","University of Colorado","University of South Florida"
"918","High and dry: post-fire tree seedling establishment in subalpine forests decreases with post-fire drought and large stand-replacing burn patches","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Brian","thygesen","no","male","male","","Ben","Poulter","male","University of Wisconsin Madison","Montana State University"
"919","Sequence Capture versus Restriction Site Associated DNA Sequencing for Shallow Systematics","SYSTEMATIC BIOLOGY","Michael","wilson","no","male","male","","Peter","Foster","male","Louisiana State University","University of Edinburgh"
"920","Habitat Condition Assessment System: a new way to assess the condition of natural habitats for terrestrial biodiversity across whole regions using remote sensing data","METHODS IN ECOLOGY AND EVOLUTION","Tom","burghardt","no","male","male","","Barbara","Anderson","female","","Landcare Research, Lincoln University"
"921","Landscape properties mediate the homogenization of bird assemblages during climatic extremes","ECOLOGY","Angie","brooks","no","either","either","","Brian","Inouye","male","Deakin University","Florida State University"
"922","Freshwater biota and rising pCO(2)?","ECOLOGY LETTERS","Caleb","hassall","no","male","male","","Robert","Sterner","male","University of Illinois","University of Minnesota Duluth"
"923","Live fast, die old: no evidence of reproductive senescence or costs of mating in a damselfly (Odonata: Zygoptera)","JOURNAL OF ANIMAL ECOLOGY","Christopher","kallio","no","male","male","","Dylan","Childs","male","University of Leeds","University of Sheffield"
"924","Transcriptional and Linkage Analyses Identify Loci that Mediate the Differential Macrophage Response to Inflammatory Stimuli and Infection","PLOS GENETICS","Musa","letcher","no",NA,NA,"","Barbara","Stranger","female","University of Glasgow","University of Chicago"
"925","Greater carbon allocation to mycorrhizal fungi reduces tree nitrogen uptake in a boreal forest","ECOLOGY","Niles","plard","no","male","male","","Jason","Hoeksema","male","Swedish University of Agricultural Sciences","University of Mississippi"
"926","Seasonality and nitrogen supply modify carbon partitioning in understory vegetation of a boreal coniferous forest","ECOLOGY","N.","plard","no",NA,NA,"","Joseph","Yavitt","male","Swedish University of Agricultural Sciences","Cornell University"
"927","Fishes: A Guide to their Diversity (Retraction of vol 65, pg 345, 2016)","SYSTEMATIC BIOLOGY","Philip","puth","no","male","male","","","Retraction",NA,"",""
"928","Diapause induction and relaxed selection on alternative developmental pathways in a butterfly","JOURNAL OF ANIMAL ECOLOGY","Inger","kojima","no","female","female","","Simon","Leather","male","Stockholm University","Harper Adams University"
"929","The Roles of Mutation, Selection, and Expression in Determining Relative Rates of Evolution in Mitochondrial versus Nuclear Genomes","MOLECULAR BIOLOGY AND EVOLUTION","Justin","loftie-eaton","no","either","either","","David","Irwin","male","Colorado State University","University of Toronto"
"930","Resilience vs. historical contingency in microbial responses to environmental change","ECOLOGY LETTERS","Christine","zheng","no","female","female","","Aimee","Classen","female","University of Texas","University of Tennessee"
"931","Environmental disturbance can increase beta diversity of stream macroinvertebrate assemblages","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Charles","alexander","no","male","male","","Janne","Soininen",NA,"Utah State University","University of Helsinki"
"932","Fine Mapping of a Dravet Syndrome Modifier Locus on Mouse Chromosome 5 and Candidate Gene Analysis by RNA-Seq","PLOS GENETICS","Nicole","chernomor","no","female","female","","Wayne","Frankel","male","Northwestern University","Columbia University Medical Center"
"933","New insights: animal-borne cameras and accelerometers reveal the secret lives of cryptic species","JOURNAL OF ANIMAL ECOLOGY","Graeme","goremykin","yes","male","male","","Ken","Wilson","male","Deakin University","Lancaster University "
"934","The Footprint of Polygenic Adaptation on Stress-Responsive Cis-Regulatory Divergence in the Arabidopsis Genus","MOLECULAR BIOLOGY AND EVOLUTION","Fei","scotland","no","either",NA,"behindthename.com","John","Parsch","male","University of Cologne","University of Munich"
"935","Consumer control as a common driver of coastal vegetation worldwide","ECOLOGICAL MONOGRAPHS","Qiang","stadler","no",NA,NA,"","Edwin","Grosholz","male","Duke University","University of California Davis"
"936","Biogeographic consequences of nutrient enrichment for plant-herbivore interactions in coastal wetlands","ECOLOGY LETTERS","Qiang","truszkowski","no",NA,NA,"","Mary","O'Connor","female","Duke University","University of British Columbia"
"937","A 350-million-year legacy of fire adaptation amongconifers","JOURNAL OF ECOLOGY","Tianhua","woodhams","no",NA,NA,"","Matt","McGlone","male","Curtin University","Landcare Research, Lincoln University"
"938","Novel Ciliate Genetic Code Variants Including the Reassignment of All Three Stop Codons to Sense Codons in Condylostoma magnum","MOLECULAR BIOLOGY AND EVOLUTION","Stephen","he","no","male","male","","James","McInerney","male","University College Cork","Maynooth University"
"939","Refugia and connectivity sustain amphibian metapopulations afflicted by disease","ECOLOGY LETTERS","Geoffrey","petraitis","yes","male","male","","Corey","Bradshaw","either","University of Melbourne","University of Adelaide"
"940","Invaders do not require high resource levels to maintain physiological advantages in a temperate deciduous forest","ECOLOGY","J.","janzen","no","male","male","","Daniel","Laughlin","either","Syracuse University","University of Waikato"
"941","A meta-analysis of zooplankton functional traits influencing ecosystem function","ECOLOGY","Marie-Pier","quinzin","no","female",NA,"babynames.com","Carla","Caceres","female","Universite Montreal","University of Illinois"
"942","Tree of Life Reveals Clock-Like Speciation and Diversification","MOLECULAR BIOLOGY AND EVOLUTION","S.","schneider","no","either","either","","Emma","Teeling","female","Temple University","University College Dublin"
"943","The influence of climate on avian nest construction across large geographical gradients","GLOBAL ECOLOGY AND BIOGEOGRAPHY","C.","zambrano-vega","no",NA,NA,"","Katrin","Bohning-Gaese","female","University of Adelaide","Senckenberg Biodiversity and Climate Research Centre"
"944","On the existence of maximum likelihood estimates for presence-only data","METHODS IN ECOLOGY AND EVOLUTION","Trevor","gould","no","male","male","","David","Warton","male","University of Nebraska","University of New South Wales"
"945","When can the cause of a population decline be determined?","ECOLOGY LETTERS","Trevor","johnson","no","male","male","","Corey","Bradshaw","either","Colorado State University","University of Adelaide"
"946","Light availability experienced in the field affects ability of following generations to respond to shading in an annual grassland plant","JOURNAL OF ECOLOGY","Tina","qiu","no","female","female","","Susan","Schwinning","female","Technological University of Munich","Texas State University"
"947","Functional Relationship between a Dinoflagellate Host and Its Diatom Endosymbiont","MOLECULAR BIOLOGY AND EVOLUTION","Elisabeth","shelton","no","female","female","","John","TRUE","male","University of British Columbia","Stony Brook University"
"948","Assessing the performance of a semi-automated acoustic monitoring system for primates","METHODS IN ECOLOGY AND EVOLUTION","Stefanie","strauss","no","female","female","","Kate","Jones","female","Max Planck Institute of Evolutionary Anthropology","University College London"
"949","Elements of regional beetle faunas: faunal variation and compositional breakpoints along climate, land cover and geographical gradients","JOURNAL OF ANIMAL ECOLOGY","Jani","kyrchanova","no",NA,NA,"","Frank","Johansson","either","Finnish Environment Institute","University of Umea"
"950","Genomic Data from Extinct North American Camelops Revise Camel Evolutionary History","MOLECULAR BIOLOGY AND EVOLUTION","Peter","kalyuzhny","no","male","male","","Claudia","Russo","female","University of California Santa Cruz","Federal University of Rio de Janeiro"
"951","Owl pellets: a more effective alternative to conventional trapping for broad-scale studies of small mammal communities","METHODS IN ECOLOGY AND EVOLUTION","Leanne","broms","no","female","female","","Diana","Aac","female","University of Regina",""
"952","Calibrated Birth-Death Phylogenetic Time-Tree Priors for Bayesian Inference","SYSTEMATIC BIOLOGY","Joseph","brost","no","male","male","","John","McCormack","male","Allan Wilson Centre for Molecular Ecology and Evolution Massey University","Occidental College"
